INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,LATITUDE,LONGITUDE,ADM_RATE_ALL,ACTCMMID,SAT_AVG_ALL,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,COST,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,DEBT_MDN,C100_4,UGDS_MEN,UGDS_WOMEN,C100_41
Siena College,Loudonville,NY,12211-1462,www.siena.edu,https://siena.studentaidcalculator.com/survey.aspx,42.718586,-73.75153,0.658565423,25,1127,3085,3278,0.8029,0.0344,0.0674,0.0441,0.001,0.0006,0.0256,0.0178,0.0062,0.815,0.023,0.0326,0.0006,0.0407,0.0043,0,0.9277,0.0198,0.0223,0.0024,0.0235,47265,0,47265,32293,32293,NULL,23500,0.7448,0.4814,0.5186,74.48
Randolph-Macon College,Ashland,VA,23005-5505,www.rmc.edu,https://secure.rmc.edu/Admissions/npc/,37.749654,-77.472253,0.603384095,24,1086,1377,1171,0.7712,0.0871,0.0428,0.0196,0.0029,0,0.0399,0.0182,0.0182,0.806,0.1117,0.022,0.009,0.0236,0.0196,0,0.9086,0.0512,0.012,0.0017,0.0068,47262,0,47262,36340,36340,NULL,23250,0.241,0.4568,0.5432,24.1
University of Hartford,West Hartford,CT,06117-1599,www.hartford.edu,https://hartford.studentaidcalculator.com/,41.796485,-72.714965,0.72133758,22,1000,4956,5367,0.5819,0.1493,0.1031,0.0321,0.003,0.0008,0.0258,0.0573,0.0466,0.629,0.1262,0.0287,0.0027,0.0696,0.041,0.1109,0.7017,0.0827,0.0196,0.0011,0.043,47114,0,47114,35444,35444,NULL,18671.5,0.4453,0.5002,0.4998,44.53
Coe College,Cedar Rapids,IA,52402-5092,www.coe.edu,www.coe.edu/admission/financialaid,41.986383,-91.657535,0.553041434,25,1146,1363,1256,0.7652,0.0521,0.08,0.0242,0.0022,0.0007,0.033,0.0147,0.0279,0,0,0,0,0,0.0374,0.0064,0.9108,0.0199,0.0127,0.0008,0.0119,47060,0,47060,37320,37320,NULL,21500,0.6129,0.4387,0.5613,61.29
Immaculata University,Immaculata,PA,19345-0702,www.immaculata.edu,www.immaculata.edu/FinAid/net_price_calculator,40.027963,-75.57063,0.759398496,20,962,2012,2231,0.7311,0.1536,0.0537,0.0189,0.0005,0.001,0.0194,0.0075,0.0144,0.7108,0.1274,0.021,0.0064,0.0217,0.0202,0.0126,0.8364,0.0946,0.0161,0.0027,0.0175,47048,0,47048,32000,32000,NULL,21893.5,0.5083,0.2545,0.7455,50.83
John Carroll University,University Heights,OH,44118-4581,sites.jcu.edu/,https://jcu.studentaidcalculator.com/welcome.aspx,41.488978,-81.533103,0.82907307,25,1116,3069,3525,0.8534,0.042,0.0332,0.0156,0.0007,0,0.0209,0.0215,0.0127,0.773,0.0629,0.0213,0.003,0.0277,0.0006,0.0272,0.8735,0.046,0.0287,0.0017,0.0224,46851,0,46851,35800,35800,NULL,23373,0.5995,0.5272,0.4728,59.95
Erskine College,Due West,SC,29639,www.erskine.edu,https://erskine.studentaidcalculator.com/survey.aspx,34.330674,-82.390797,0.605695509,22,1016,587,502,0.661,0.1107,0.0341,0.0102,0.0017,0,0,0,0.1823,0.7111,0.0709,0.0087,0,0.0121,0.01,0.004,0.9104,0.0538,0.008,0,0.0139,46843,0,46843,31580,31580,NULL,15750,0.4417,0.5094,0.4906,44.17
Xavier University,Cincinnati,OH,45207-1092,www.xavier.edu,www.xavier.edu/undergraduate-admission/net-price-calculator,39.149291,-84.477648,0.731495045,25,1113,4464,4019,0.7236,0.0992,0.0488,0.0228,0.0025,0.0018,0.0354,0.0211,0.0448,0.8006,0.1161,0.0208,0.0032,0.0323,0.0323,0.0234,0.8189,0.0913,0.0209,0.001,0.0122,46740,0,46740,33960,33960,NULL,20500,0.6324,0.4559,0.5441,63.24
Pacific Lutheran University,Tacoma,WA,98447-0003,www.plu.edu,www.plu.edu/financial-aid/HEOA-Required-Consumer-Information/net-price-calculator.php,47.145494,-122.445372,0.750145433,26,1115,2874,3247,0.6778,0.0285,0.0814,0.0696,0.009,0.0077,0.0769,0.0414,0.0077,0.6926,0.0256,0.0598,0.0133,0.0278,0.0819,0.069,0.7447,0.0246,0.0487,0.0089,0.0222,46717,0,46717,36530,36530,NULL,22500,0.5225,0.3713,0.6287,52.25
DeSales University,Center Valley,PA,18034-9568,www.desales.edu,cvweb02.desales.edu/costestimator,40.540137,-75.376549,0.796463506,24,1033,2383,1869,0.7637,0.0436,0.099,0.0264,0.0059,0.0017,0,0,0.0596,0.6481,0.0193,0.0167,0.0004,0.0369,0.0005,0.2295,0.7325,0.0112,0.0096,0.0005,0.0161,46691,0,46691,32350,32350,NULL,19500,0.6393,0.3982,0.6018,63.93
Methodist University,Fayetteville,NC,28311-1420,www.methodist.edu,https://methodist.studentaidcalculator.com/survey.aspx,35.137854,-78.875024,0.559375,21,962,2171,2134,0.5122,0.2004,0.0797,0.0115,0.0064,0.0023,0.0373,0.064,0.0861,0.4862,0.1834,0.0128,0.0092,0.0476,0.0337,0.0122,0.6837,0.186,0.0136,0.0117,0.059,46685,0,46685,29080,29080,NULL,10000,0.1535,0.5463,0.4537,15.35
University of Bridgeport,Bridgeport,CT,06604-5620,www.bridgeport.edu,tcc.noellevitz.com/%28S%28k34014tz2iylggsrv2pivjyt%29%29/University%20of%20Bridgeport/cost,41.165587,-73.189352,0.607178631,19,899,3021,1277,0.2512,0.376,0.1658,0.0288,0.0079,0.003,0.0192,0.148,0,0.2736,0.371,0.0307,0.0031,0.1508,0.4127,0.0211,0.2772,0.1566,0.0564,0.0031,0.0728,46680,0,46680,29920,29920,NULL,17392,0.2027,0.3452,0.6548,20.27
Wabash College,Crawfordsville,IN,47933-0352,www.wabash.edu,https://www.wabash.edu/finaid/early,40.037799,-86.905809,0.699761716,25,1128,923,858,0.7465,0.0596,0.0639,0.013,0.0054,0.0011,0.0293,0.0715,0.0098,0,0,0,0,0,0.0501,0.0058,0.8054,0.0536,0.0291,0.0035,0.0524,46660,0,46660,37750,37750,NULL,21000,0.6827,1,0,68.27
LIU Post,Brookville,NY,11548-1327,liu.edu/CWPost,webapps2.liu.edu/netpricecalc/Calculator.aspx?campus=P,40.820043,-73.593279,0.846892485,21,950,3774,6032,0.4701,0.1131,0.1343,0.0427,0.0013,0.0005,0.0164,0.1052,0.1163,0.4903,0.0891,0.0439,0.0018,0.0757,0.0189,0.6769,0.228,0.0328,0.0088,0.0038,0.0308,46535,0,46535,34852,34852,NULL,18750,0.2232,0.3853,0.6147,22.32
Millsaps College,Jackson,MS,39210-0001,www.millsaps.edu,www.millsaps.edu/administrative_offices/financial_aid_net_price_calculator.php,32.3231,-90.178084,0.571828032,26,1178,762,1193,0.7454,0.1076,0.021,0.0446,0.0079,0,0.0079,0.0354,0.0302,0,0,0,0,0,0.0059,0,0.8449,0.1073,0.0293,0.0034,0.0092,46491,0,46491,33982,33982,NULL,22394,0.6203,0.5092,0.4908,62.03
Presbyterian College,Clinton,SC,29325,https://www.presby.edu,https://www.presby.edu/admissions/calculator/,34.465697,-81.874408,0.537184595,24,1090,1032,1148,0.8062,0.1211,0.0194,0.0145,0.0029,0,0.0165,0.0136,0.0058,0.8667,0.0825,0.0075,0.0025,0.0133,0,0.0113,0.9268,0.0488,0.0078,0,0.0052,46378,0,46378,34828,34828,NULL,19075,0.582,0.468,0.532,58.2
Delaware Valley University,Doylestown,PA,18901-2697,www.delval.edu,www.delval.edu/net-price-calculator/,40.29757,-75.158202,0.757415254,21,990,1823,1785,0.7778,0.0757,0.0823,0.0132,0.0066,0.0011,0.0049,0.006,0.0324,0.84,0.0379,0.0112,0.0021,0.0203,0.0006,0.0992,0.8415,0.0353,0.0045,0.0022,0.0168,46333,0,46333,33826,33826,NULL,17936,0.5128,0.3779,0.6221,51.28
Iona College,New Rochelle,NY,10801-1890,www.iona.edu,https://iona.studentaidcalculator.com/welcome.aspx,40.927107,-73.785635,0.866973651,23,1022,3052,3422,0.5816,0.0813,0.2048,0.0226,0.002,0.0016,0.0174,0.0239,0.0649,0.6708,0.0531,0.0172,0.0015,0.1159,0.0105,0.135,0.6251,0.0982,0.0161,0.0009,0.1143,46329,0,46329,34030,34030,NULL,20000,0.5092,0.4702,0.5298,50.92
Morehouse College,Atlanta,GA,30314,www.morehouse.edu,www.morehouse.edu/admissions/home/tuition.shtml,33.74793,-84.415156,0.840286055,22,1004,2106,2970,0.0005,0.943,0.0062,0.0005,0.0005,0,0.0019,0.0313,0.0161,0.003,0.9446,0.0004,0.0011,0.0041,0.0525,0.0098,0.001,0.9327,0.0013,0,0.0027,46258,0,46258,26090,26090,NULL,24500,0.3953,1,0,39.53
Saint Edward's University,Austin,TX,78704-6489,https://www.stedwards.edu,https://www.stedwards.edu/admission-financial-aid/undergraduate/new-freshmen/financial-aid,30.229844,-97.75763,0.78363102,25,1116,3991,3105,0.3789,0.0423,0.3984,0.0323,0.0043,0.0018,0.0323,0.0864,0.0233,0.5381,0.0489,0.0267,0.0097,0.3042,0.0367,0.0357,0.5688,0.0512,0.0209,0.0039,0.2828,46212,0,46212,36550,36550,NULL,21500,0.5358,0.3904,0.6096,53.58
Wheelock College,Boston,MA,02215-4104,www.wheelock.edu,www.wheelock.edu/price,42.342503,-71.10582,0.875171468,20,963,867,636,0.5975,0.1084,0.1165,0.0346,0.0012,0,0.0334,0.0219,0.0865,0.693,0.0885,0.0201,0.0054,0.0818,0.0031,0.0472,0.8035,0.0676,0.0267,0.0094,0.0425,46164,0,46164,32830,32830,NULL,23789,0.4444,0.1223,0.8777,44.44
Biola University,La Mirada,CA,90639-0001,www.biola.edu,undergrad.biola.edu/finaid/#net-price,33.904823,-118.017342,0.754001033,25,1122,4364,2797,0.5165,0.0209,0.1829,0.1613,0.0014,0.003,0.0648,0.027,0.0222,0.6733,0.0336,0.118,0.0119,0.1247,0.0476,0.0057,0.7311,0.039,0.0887,0.0057,0.0822,46162,0,46162,33322,33322,NULL,19500,0.5083,0.3728,0.6272,50.83
Suffolk University,Boston,MA,02108-2770,www.suffolk.edu,https://suffolk.studentaidcalculator.com/survey.aspx,42.359134,-71.06192,0.839062144,24,1049,5274,3438,0.3917,0.0559,0.1147,0.0794,0.0013,0.0002,0.0207,0.2169,0.1191,0.5271,0.0432,0.071,0.0034,0.0707,0.1571,0.119,0.5864,0.039,0.0544,0.0009,0.0433,46152,0,46152,32660,32660,NULL,21500,0.3899,0.4475,0.5525,38.99
Wentworth Institute of Technology,Boston,MA,2115,WWW.WIT.EDU,https://wit.studentaidcalculator.com/survey.aspx,42.336632,-71.094983,0.826373213,25,1116,4295,3187,0.607,0.048,0.0328,0.065,0.0023,0,0.0554,0.0624,0.1271,0.7001,0.0421,0.0513,0.0011,0.0352,0.0797,0.0982,0.6596,0.0571,0.0628,0.0056,0.037,46112,0,46112,30765,30765,NULL,23000,0.4908,0.8109,0.1891,49.08
University of Saint Joseph,West Hartford,CT,6117,www.usj.edu,www.usj.edu/admissions-financial-aid/tuition-and-financial-aid/net-price-calculator/,41.783028,-72.730489,0.799723757,21,969,930,1227,0.5366,0.157,0.1538,0.0247,0.0022,0.0022,0.0108,0.0022,0.1108,0.6484,0.1119,0.0232,0.0011,0.1003,0,0.2282,0.6316,0.0799,0.0212,0.0016,0.0375,46088,0,46088,34755,34755,NULL,24500,0.4089,0.014,0.986,40.89
Randolph College,Lynchburg,VA,24503-1555,www.randolphcollege.edu,www.collegecostcalculator.org/randolph,37.437429,-79.17079,0.810051737,25,1086,658,741,0.6733,0.1079,0.0471,0.0304,0.0061,0,0.0334,0.1018,0,0,0,0,0,0,0.1147,0,0.749,0.0675,0.0297,0.004,0.0351,46060,0,46060,34110,34110,NULL,19000,0.3611,0.3571,0.6429,36.11
Franklin Pierce University,Rindge,NH,03461-0060,www.franklinpierce.edu,https://franklinpierce.studentaidcalculator.com/survey.aspx,42.782305,-72.057875,0.842952275,20,949,1731,1489,0.7579,0.0416,0.0231,0.011,0.0035,0.0012,0.0364,0.0202,0.1051,0,0,0,0,0,0.0255,0.0584,0.8449,0.0302,0.0101,0.0027,0.0282,45898,0,45898,31782,31782,NULL,13500,0.3903,0.4518,0.5482,39.03
Springfield College,Springfield,MA,01109-3797,www.springfield.edu/,https://www.springfield.edu/admissions/financial-aid/net-price-calculator,42.105033,-72.555688,0.708664898,20,1025,2136,3371,0.8305,0.0463,0.0501,0.008,0.0028,0.0014,0.015,0.0234,0.0225,0,0,0,0,0,0.0145,0.1436,0.5678,0.1821,0.0089,0.0042,0.0789,45887,0,45887,33455,33455,NULL,20500,0.6159,0.5178,0.4822,61.59
Sierra Nevada College,Incline Village,NV,89451,www.sierranevada.edu,https://npc.collegeboard.org/student/app/sierranevada,39.24586,-119.939523,0.65742025,23,1010,548,331,0.7299,0.0182,0.0109,0.0219,0.0474,0.0091,0,0.042,0.1204,0.7275,0.0159,0.0185,0.037,0.0582,0.003,0.5287,0.4411,0,0.0151,0.0091,0.003,45859,0,45859,29159,29159,NULL,14000,0.2936,0.562,0.438,29.36
Lycoming College,Williamsport,PA,17701-5192,www.lycoming.edu,https://lycoming.studentaidcalculator.com,41.246127,-77.0003,0.722222222,23,1043,1340,1396,0.756,0.0701,0.0448,0.0097,0.0015,0,0.0254,0.0455,0.047,0.8725,0.0311,0.0133,0.0059,0.0178,0.0079,0,0.9742,0.0093,0.0036,0.0014,0.0036,45746,0,45746,34706,34706,NULL,26950,0.5235,0.4664,0.5336,52.35
Rosemont College,Rosemont,PA,19010-1699,www.rosemont.edu,www.rosemont.edu/admissions/financial-aid/undergraduate-financial-aid/net-calculator/index.aspx,40.034771,-75.329898,0.57875,25,993,516,893,0.4205,0.3837,0.064,0.0484,0.0019,0,0.0329,0.0116,0.0368,0.3212,0.4599,0.0383,0,0.073,0.0146,0.0493,0.6898,0.1769,0.0414,0,0.028,45736,0,45736,31580,31580,NULL,21000,0.3492,0.3411,0.6589,34.92
Becker College,Worcester,MA,01609-2165,www.becker.edu,https://npc.collegeboard.org/student/app/becker,42.26918,-71.811895,0.624692875,23,1015,1975,1166,0.6937,0.0775,0.1018,0.0167,0.001,0.001,0.0238,0.0071,0.0775,0,0,0,0,0,0.0026,0.3619,0.5412,0.0334,0.024,0.0017,0.0352,45609,0,45609,32870,32870,NULL,16750,0.1597,0.4203,0.5797,15.97
Azusa Pacific University,Azusa,CA,91702-7000,www.apu.edu,www.apu.edu/sfs/undergraduate/cost/calculator/,34.130865,-117.88795,0.8183391,23,1037,5918,3453,0.4714,0.0448,0.2614,0.0912,0.0019,0.0095,0.0738,0.0191,0.0269,0,0,0,0,0,0.0348,0.0333,0.7049,0.0327,0.0591,0.0052,0.13,45472,0,45472,33096,33096,NULL,18500,0.4679,0.3535,0.6465,46.79
High Point University,High Point,NC,27268,www.highpoint.edu,https://www.highpoint.edu/admissions/net-price-calculator/,35.972674,-79.994545,0.801889339,24,1096,4197,2623,0.8146,0.0522,0.0407,0.0126,0.0043,0,0.0398,0.0155,0.0203,0.7553,0.1266,0.0131,0.0034,0.0214,0.0111,0.0233,0.7693,0.1719,0.0088,0.0019,0.0137,45350,0,45350,31480,31480,NULL,19500,0.592,0.4058,0.5942,59.2
Canisius College,Buffalo,NY,14208-1098,WWW.Canisius.edu,https://canisius.studentaidcalculator.com/welcome.aspx,42.925319,-78.851794,0.802290701,24,1085,2736,3349,0.7445,0.0705,0.0504,0.0212,0.0022,0.0007,0.0172,0.0446,0.0486,0.7786,0.0588,0.0141,0.0039,0.0244,0.0284,0.0603,0.7967,0.0633,0.0164,0.0036,0.0314,45339,0,45339,34000,34000,NULL,19928.5,0.5663,0.4645,0.5355,56.63
Wartburg College,Waverly,IA,50677-0903,www.wartburg.edu,www.wartburg.edu/finaid/npc.html,42.727629,-92.480933,0.788311688,24,1100,1614,1600,0.78,0.0496,0.026,0.0112,0.0006,0.0006,0.0223,0.0979,0.0118,0.8199,0.0496,0.016,0.0023,0.0148,0.0413,0.04,0.8744,0.0288,0.01,0.0019,0.0038,45305,0,45305,36120,36120,NULL,23500,0.6477,0.4783,0.5217,64.77
Milwaukee School of Engineering,Milwaukee,WI,53202-3109,www.msoe.edu,www.msoe.edu/npc,43.045364,-87.907691,0.686480186,28,1243,2592,2279,0.6883,0.0239,0.044,0.0313,0.0023,0.005,0.0154,0.1215,0.0683,0.8355,0.0316,0.0324,0.0053,0.0312,0.0382,0,0.8771,0.0342,0.029,0.0031,0.0184,45260,0,45260,35520,35520,NULL,25000,0.3344,0.762,0.238,33.44
Birmingham Southern College,Birmingham,AL,35254,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,33.515453,-86.853636,0.533935018,27,1181,1180,1395,0.7983,0.1102,0.0195,0.0517,0.0102,0,0.0051,0,0.0051,0.8263,0.0836,0.0411,0.006,0.0186,0.0022,0.0029,0.8437,0.1039,0.0358,0.0065,0.005,45162,0,45162,31708,31708,NULL,21500,0.5622,0.5381,0.4619,56.22
Oglethorpe University,Atlanta,GA,30319-2797,www.oglethorpe.edu,www.collegecostcalculator.org/oglethorpe,33.875939,-84.334756,0.782310469,25,1139,1064,1169,0.3383,0.188,0.1053,0.0404,0.0028,0,0.0273,0.0479,0.25,0,0,0,0,0,0.0205,0.0556,0.6758,0.1865,0.0385,0.0017,0.0214,45158,0,45158,32500,32500,NULL,15953,0.3852,0.4182,0.5818,38.52
Central College,Pella,IA,50219,www.central.edu,www.central.edu/financialAid/estimator.cfm,41.400236,-92.918664,0.68904824,24,1101,1333,1336,0.8972,0.0173,0.03,0.0105,0.003,0.0015,0.0098,0.0023,0.0285,0.9209,0.0229,0.0183,0.0033,0.0177,0.0142,0.0007,0.9581,0.0045,0.009,0.0015,0.012,45151,0,45151,32124,32124,NULL,24990,0.6312,0.4891,0.5109,63.12
Centenary College,Hackettstown,NJ,7840,www.centenarycollege.edu,https://npc.collegeboard.org/student/app/centenarycollege,40.848693,-74.832775,0.819103973,19,926,1612,1202,0.5633,0.1086,0.0701,0.0124,0.0019,0,0.0037,0.023,0.2171,0.6589,0.0986,0.0449,0.0005,0.072,0.0374,0.5108,0.3844,0.0308,0.0116,0.0025,0.0225,45141,0,45141,30942,30942,NULL,19750,0.6065,0.3679,0.6321,60.65
Augsburg College,Minneapolis,MN,55454,www.augsburg.edu,https://augsburg.studentaidcalculator.com/survey.aspx,44.965636,-93.241418,0.680240793,23,1074,2552,2913,0.5846,0.1066,0.0654,0.0772,0.0102,0.0004,0.0243,0.0176,0.1136,0.708,0.0779,0.0618,0.0222,0.0312,0.0336,0.1181,0.7398,0.0556,0.033,0.01,0.01,44986,0,44986,34431,34431,NULL,22387.5,0.472,0.4655,0.5345,47.2
Spring Hill College,Mobile,AL,36608-1791,www.shc.edu,www.shc.edu/ug/tuition-and-financial-aid/resources/net-price-calculator,30.694751,-88.138199,0.517694155,25,1116,1215,1227,0.6733,0.1556,0.0626,0.0107,0.0074,0,0.0346,0.0222,0.0337,0.6756,0.1833,0.0107,0.0061,0.0698,0.0147,0.0253,0.7734,0.1353,0.013,0.0065,0.0318,44970,0,44970,32468,32468,NULL,20500,0.5087,0.3967,0.6033,50.87
Hamline University,Saint Paul,MN,55104-1284,www.hamline.edu,www.hamline.edu/undergraduate/admission/net-price-calculator.html,44.965696,-93.163983,0.695932104,24,1101,2157,1851,0.7232,0.0603,0.0626,0.0593,0.0046,0.0019,0.0566,0.0139,0.0176,0.6963,0.0664,0.0498,0.0075,0.0311,0.0276,0.0492,0.8352,0.0335,0.0351,0.0065,0.013,44883,0,44883,36270,36270,NULL,17877,0.5635,0.4223,0.5777,56.35
Lasell College,Newton,MA,2466,www.lasell.edu/,www.lasell.edu/tuition-and-aid/net-price-calculator.html,42.342712,-71.243738,0.763216918,21,974,1727,841,0.7446,0.0625,0.0874,0.0197,0.0029,0.0012,0.0295,0.0382,0.0139,0.8079,0.0645,0.0289,0.0033,0.0421,0.0285,0.0452,0.7146,0.1106,0.038,0.0012,0.0618,44737,0,44737,31000,31000,NULL,20250,0.5218,0.3526,0.6474,52.18
Gordon College,Wenham,MA,1984,www.gordon.edu,www.gordon.edu/netpricecalculator,42.588173,-70.819133,0.88372093,26,1161,1703,1528,0.754,0.0382,0.0664,0.0346,0.0018,0.0059,0.0323,0.0669,0,0.8451,0.0203,0.0163,0.0007,0.0359,0.0157,0.0151,0.9287,0.0092,0.0164,0.002,0.0131,44699,0,44699,34390,34390,NULL,23250,0.611,0.3852,0.6148,61.1
Valparaiso University,Valparaiso,IN,46383,www.valpo.edu,https://valpo.collegecosts.com/Estimator/Agreement,41.463176,-87.045853,0.82360191,26,1155,3210,2979,0.7333,0.0526,0.0769,0.0178,0.0028,0,0.0237,0.0782,0.0146,0,0,0,0,0,0.0389,0.0265,0.8577,0.0329,0.0181,0.0037,0.0222,44674,0,44674,34760,34760,NULL,24000,0.5954,0.4838,0.5162,59.54
Alma College,Alma,MI,48801-1599,alma.edu,alma.edu/admissions/financial-aid/aid-calculators/net-price-calculator.php,43.379236,-84.670073,0.719846022,24,1101,1362,1409,0.8355,0.033,0.0367,0.0147,0.0066,0.0007,0.0257,0.0081,0.0389,0.9132,0.023,0.0151,0.0086,0.033,0.0135,0.0007,0.934,0.0156,0.0121,0.0064,0.0177,44636,0,44636,34220,34220,NULL,22000,0.5748,0.4545,0.5455,57.48
Centenary College of Louisiana,Shreveport,LA,71134-1188,www.centenary.edu,www.centenary.edu/fa/links/npc,32.483004,-93.731518,0.656697009,25,1109,548,858,0.6807,0.1533,0.0602,0.0347,0.0109,0.0018,0.0383,0.0201,0,0.7986,0.0978,0.0319,0.0057,0.0341,0.0245,0.0268,0.8368,0.0594,0.0117,0.0117,0.0291,44596,0,44596,33500,33500,NULL,18304,0.4228,0.4288,0.5712,42.28
The College of New Rochelle,New Rochelle,NY,10805-2339,www.cnr.edu,apps.cnr.edu/npcalculator,40.899427,-73.781104,0.385346953,21,958,3075,5191,0.0595,0.4624,0.1268,0.0159,0.0026,0.0023,0.0072,0.0033,0.32,0.0433,0.4406,0.021,0.0034,0.1151,0.0139,0.3797,0.0695,0.4331,0.0071,0.0035,0.0932,44483,0,44483,32300,32300,NULL,15000,0.1706,0.1096,0.8904,17.06
MCPHS University,Boston,MA,02115-5896,www.mcphs.edu,www.mcphs.edu/admission-and-aid/student-financial-services/calculate-your-cost,42.337036,-71.100964,0.840122825,23,1074,3944,1427,0.4194,0.0545,0.0363,0.25,0.0013,0.0008,0.0035,0.1194,0.1149,0,0,0,0,0,0.0434,0.021,0.5053,0.0561,0.3574,0.0056,0.0112,44449,0,44449,30400,30400,NULL,25000,0.5075,0.3136,0.6864,50.75
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,7666,www.fdu.edu,www.fdu.edu,40.896162,-74.030023,0.804105862,21,993,3870,6560,0.2556,0.1377,0.3457,0.0486,0.0013,0.0023,0.0121,0.0752,0.1214,0,0,0,0,0,0.0599,0.0784,0.5957,0.121,0.0535,0.0026,0.0889,44292,0,44292,35880,35880,NULL,18750,0.319,0.4313,0.5687,31.9
Drake University,Des Moines,IA,50311-4505,www.drake.edu,www.drake.edu/admission/undergraduate/netpricecalculator/,41.60381,-93.654062,0.692557134,28,1239,3290,2890,0.7903,0.035,0.0353,0.0416,0.0015,0.0003,0.0161,0.0733,0.0067,0.7438,0.027,0.0322,0.0011,0.0187,0.0564,0.0844,0.7758,0.0349,0.026,0.0069,0.0156,44261,0,44261,32246,32246,NULL,20500,0.655,0.4334,0.5666,65.5
Lynchburg College,Lynchburg,VA,24501-3113,www.lynchburg.edu,www.lynchburg.edu/admission/financial-aid/net-price-calculator/,37.397678,-79.184153,0.667452403,22,998,2079,1748,0.7335,0.1135,0.0467,0.0111,0.0053,0.0014,0.0361,0.026,0.0265,0.7822,0.0817,0.0138,0.0088,0.0226,0.0109,0,0.8747,0.0789,0.0103,0.0057,0.0195,44236,0,44236,34545,34545,NULL,21461,0.425,0.4069,0.5931,42.5
Mount Ida College,Newton,MA,2459,www.mountida.edu,www.mountida.edu/admissions-aid/,42.293205,-71.194658,0.684938272,19,886,1290,1196,0.5891,0.1085,0.1109,0.0248,0.0023,0.0008,0.0287,0.062,0.0729,0.5786,0.1199,0.0407,0.0041,0.0705,0.0527,0.2609,0.4356,0.1263,0.0619,0.005,0.0577,44219,0,44219,30447,30447,NULL,20000,0.3214,0.3372,0.6628,32.14
Point Loma Nazarene University,San Diego,CA,92106-2899,www.pointloma.edu,www.pointloma.edu/NPC,32.713295,-117.251204,0.695322793,26,1135,2560,2304,0.6176,0.023,0.218,0.0508,0.0086,0.0086,0.0586,0.0055,0.0094,0.7541,0.0253,0.0655,0.0076,0.1213,0.013,0.0226,0.8307,0.0169,0.0386,0.0078,0.0703,44198,0,44198,31406,31406,NULL,18560,0.5911,0.3617,0.6383,59.11
Regis University,Denver,CO,80221-1099,www.regis.edu/,www.regis.edu/RC/Financial-Aid/Applying-for-Aid/Net-Price-Calculator.aspx,39.78976,-105.031385,0.960363336,25,1108,4914,5446,0.5895,0.0507,0.1803,0.0409,0.0055,0.002,0.0281,0.0092,0.0938,0.6599,0.0646,0.0424,0.0102,0.111,0.0083,0.1921,0.6539,0.0358,0.0231,0.0081,0.0788,44191,0,44191,33060,33060,NULL,18509.5,0.4178,0.3901,0.6099,41.78
Saint Francis University,Loretto,PA,15940,www.francis.edu,www.francis.edu/tuition-calculator,40.502782,-78.638469,0.687195122,23,1033,1932,1412,0.8183,0.0569,0.0078,0.0129,0.0005,0.0036,0.0114,0.0243,0.0642,0.8624,0.053,0.0116,0.0006,0.0134,0.0085,0,0.949,0.0305,0.0042,0.0028,0.005,44190,0,44190,31078,31078,NULL,26000,0.6165,0.3747,0.6253,61.65
Elmhurst College,Elmhurst,IL,60126-3096,www.elmhurst.edu,www.elmhurst.edu/finaid,41.899215,-87.946096,0.67710617,24,1089,2773,2484,0.6971,0.0447,0.1551,0.0483,0.0014,0.0011,0.0325,0.0014,0.0184,0.7616,0.0376,0.0406,0.005,0.0801,0.0149,0.0882,0.7516,0.0527,0.029,0.0036,0.06,44143,0,44143,33950,33950,NULL,17750,0.6076,0.3992,0.6008,60.76
Monmouth University,West Long Branch,NJ,07764-1898,www.monmouth.edu,https://monmouth.studentaidcalculator.com/survey.aspx,40.280066,-74.006447,0.741906124,24,1055,4584,4194,0.7627,0.0476,0.1017,0.0279,0.0011,0.0004,0.0231,0.0076,0.0279,0.7703,0.0393,0.0241,0.0015,0.0577,0.006,0.0968,0.7771,0.0525,0.0212,0.0029,0.0436,44041,0,44041,32310,32310,NULL,22276,0.4927,0.4055,0.5945,49.27
Bethel University,Saint Paul,MN,55112,https://www.bethel.edu,https://www.bethel.edu/undergrad/financial-aid/before-apply/estimate/,45.057091,-93.159295,0.95434677,25,1146,2936,2652,0.8478,0.0484,0.0276,0.031,0.001,0.0003,0.0242,0.0041,0.0157,0.8235,0.0364,0.0205,0.0033,0.0144,0,0,0.9536,0.0124,0.0238,0.0041,0.006,43974,0,43974,32990,32990,NULL,19500,0.6456,0.3787,0.6213,64.56
